Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (A19120510_T1_unmasked),Image stdev (A19120510_T1_unmasked)
0,Clear Label,3599218,3599.22,0.139066,0.142166
1,Label 1,782,0.782,0.448408,0.0451877
