Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (A19121208_T1_unmasked),Image stdev (A19121208_T1_unmasked)
0,Clear Label,3599075,3599.08,0.171216,0.146121
1,Label 1,925,0.925,0.521712,0.0762918
