Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (A19120502_T1_unmasked),Image stdev (A19120502_T1_unmasked)
0,Clear Label,3835922,3835.92,0.176173,0.145147
1,Label 1,4078,4.078,0.409287,0.0671331
