Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (A19120506_T1_unmasked),Image stdev (A19120506_T1_unmasked)
0,Clear Label,3598911,3598.91,0.161156,0.146209
1,Label 1,1089,1.089,0.618813,0.067934
