Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (A19121203_T1_unmasked),Image stdev (A19121203_T1_unmasked)
0,Clear Label,3599114,3599.11,0.129786,0.11841
1,Label 1,886,0.886,0.486963,0.0523244
