Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (A20100704_T1_unmasked),Image stdev (A20100704_T1_unmasked)
0,Clear Label,3597479,3597.48,0.166517,0.164657
1,Label 1,2521,2.521,0.542895,0.0951396
