Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (A19120509_T1_unmasked),Image stdev (A19120509_T1_unmasked)
0,Clear Label,3597882,3597.88,0.141113,0.142777
1,Label 1,2118,2.118,0.487475,0.0555531
