Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (A19121201_T1_unmasked),Image stdev (A19121201_T1_unmasked)
0,Clear Label,3597198,3597.2,0.17055,0.163832
1,Label 1,2802,2.802,0.610942,0.0450883
