Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (A20100702_T1_unmasked),Image stdev (A20100702_T1_unmasked)
0,Clear Label,3595713,3595.71,0.145726,0.142632
1,Label 1,4287,4.287,0.471379,0.0612493
