Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (A19120504_T1_unmasked),Image stdev (A19120504_T1_unmasked)
0,Clear Label,3598411,3598.41,0.132453,0.120395
1,Label 1,1589,1.589,0.231243,0.0420865
