,Structure Abbreviation,Index,Voxel Number,Mean intensity
312,cbw_R,1147.0,3019,0.35620733471689103
313,LV_R,1148.0,4983,0.2657445041205231
314,A25_R,1149.0,174,0.3407854439540841
315,das_R,1150.0,0,
316,Post_R,1151.0,214,0.4126857054707046
317,4V_R,1152.0,460,0.30408886850852035
318,MiTg_R,1153.0,521,0.37281648062469863
319,APT_R,1154.0,44,0.2641595761207017
320,LDVL_R,1155.0,106,0.35858588595435303
321,LP_R,1156.0,157,0.3868421224082351
322,AThal_R,1157.0,320,0.36173304067924617
323,RMC_R,1158.0,65,0.3358158106987293
324,PaR_R,1159.0,0,
325,RR_R,1160.0,259,0.3651940567152841
326,CSF_R,1161.0,155,0.3474234741541647
327,IRN_R,1162.0,949,0.37119610031362077
328,PHD_PaMP_Post_and_LatHy_R,1163.0,838,0.34949980430785116
329,PR_p3Tg_L_R,1164.0,40,0.3313913054764271
330,PVG_R,1165.0,32,0.34620244801044464
331,BLA_R,,0,
