,Structure Abbreviation,Index,Voxel Number,Mean intensity
0,A24a_L,1.0,793,0.2895696418451481
1,A24aPrime_L,2.0,320,0.31138376155868175
2,A24b_L,3.0,803,0.31844555860290197
3,A24bPrime_L,4.0,217,0.34900100470825274
4,A29a_L,5.0,172,0.32337355908266335
5,A29b_L,6.0,107,0.3530601182273615
6,A29c_L,7.0,540,0.3581921425130632
7,A30_L,8.0,1512,0.36341019718360806
8,A32_L,9.0,1109,0.3071007158059704
9,Au1_L,10.0,665,0.33420392617695316
10,AuD_L,11.0,875,0.3373488428592682
11,AuV_L,12.0,743,0.32063785321699656
12,DLO_L,13.0,328,0.2593462618931038
13,Fr3_L,14.0,391,0.28920890326085297
14,FrA_L,15.0,3124,0.28756550764939276
15,Ins_L,16.0,3705,0.2769389825069953
16,LO_L,17.0,1445,0.27860970627065346
17,LPtA_L,18.0,87,0.40703668676573657
18,M1_L,19.0,3387,0.31832142663800084
19,M2_L,20.0,2891,0.3314736681564771
20,MO_L,21.0,632,0.2902644525128829
21,MPtA_L,22.0,141,0.41682514188982916
22,PtPR_L,23.0,33,0.39280059572422144
23,S1_L,24.0,304,0.36194839188829064
24,S1BF_L,25.0,4487,0.3312336265947815
25,S1DZ_L,26.0,553,0.34730723090671933
26,S1FL_L,27.0,1579,0.33627081607445425
27,S1HL_L,28.0,1268,0.3486054316456856
28,S1J_L,29.0,1390,0.3013541137571815
29,S1Sh_L,30.0,34,0.38825109338059144
30,S1Tr_L,31.0,237,0.39226672675790664
31,S1ULp_L,32.0,2061,0.30668340699655927
32,S2_L,33.0,2811,0.297205821978414
33,TeA_L,34.0,1556,0.3159606753151797
34,V1_L,35.0,253,0.39638911199428345
35,V1B_L,36.0,974,0.3609507253978715
36,V1M_L,37.0,1869,0.3398424648685274
37,V2L_L,38.0,1282,0.34106250155525347
38,V2ML_L,39.0,485,0.43909617708515875
39,V2MM_L,40.0,809,0.3978985418347994
40,VO_L,41.0,756,0.2797806216256013
41,CEnt_L,42.0,2367,0.25782755658937045
42,DIEnt_L,43.0,607,0.28799055779392674
43,DLEnt_L,44.0,1188,0.2858567195019437
44,MEnt_L,45.0,260,0.26117505883941283
45,VIEnt_L,46.0,482,0.27207925241765146
46,Cl_L,47.0,3,0.30414867401123047
47,DCl_L,48.0,0,
48,PLCo_L,49.0,986,0.20548738050321777
49,VCl_L,50.0,11,0.30860627510330896
50,Hc_L,51.0,13763,0.2966652895646508
51,DTT_L,52.0,159,0.2607107769533898
52,Ect_L,53.0,940,0.3142288769337725
53,PaS_L,54.0,496,0.28067540155062753
54,PRh_L,55.0,725,0.29303227042843555
55,PrS_L,56.0,58,0.29395028704713133
56,Pir_L,57.0,28736,0.28819490212325904
57,APir_L,58.0,97,0.2568643461797655
58,Hyp_L,59.0,5508,0.27099425269908983
59,Preopt_L,60.0,2990,0.29031279224989603
60,Sthal_L,61.0,260,0.30486965305530106
61,SPT_L,62.0,3388,0.28402804255863784
62,GP_L,63.0,1109,0.33001433111344297
63,CPu_L,64.0,10758,0.2897019769783788
64,Amy_L,65.0,6102,0.26305441313732436
65,Acb_L,66.0,2055,0.2877352084846682
66,BNst_L,67.0,330,0.3145201327674317
67,Vpal_L,68.0,870,0.3291274502017032
68,PAG_L,69.0,3892,0.2932528529071152
69,APT_L,70.0,309,0.29952039285095766
70,VTA_L,71.0,102,0.29222794242349326
71,Thal_R_L,72.0,5970,0.28017927871602066
72,VT_L,73.0,1381,0.2922242837246564
73,LDNT_L,74.0,153,0.29766691023228214
74,MGN_L,75.0,270,0.287710143542952
75,LGN_L,76.0,453,0.29988074213858473
76,ZI_L,77.0,1078,0.2884876438881338
77,RTN_L,78.0,1121,0.3013607904275117
78,Sub_PP_L,79.0,130,0.30514796674251554
79,DpMe_L,80.0,1480,0.3065568422445574
80,SC_L,81.0,5434,0.30108957216116183
81,IC_L,82.0,3210,0.3128248201062282
82,SN_L,83.0,560,0.28741634216691764
83,RPC_L,84.0,66,0.3164506870688814
84,MRN_L,85.0,2075,0.3002605418412082
85,RI_L,86.0,223,0.31416060885773645
86,Cn_L,87.0,173,0.29499956198854943
87,PrCn_L,88.0,289,0.2939019382103092
88,BS_R_L,89.0,3036,0.24018690311773258
89,Iped_L,90.0,111,0.3223009251125224
90,Cb_1_10_L,91.0,24865,0.2529056797008201
91,Den_L,92.0,231,0.2667979079407531
92,Int_L,93.0,286,0.2641148059726595
93,FasDL_L,94.0,1,0.25898370146751404
94,FasMed_L,95.0,580,0.25800767959705717
95,Vll_L,96.0,15,0.21620322267214456
96,ParB_L,97.0,202,0.3022033191553437
97,KF_L,98.0,387,0.2756606387383562
98,PCRt_L,99.0,2699,0.24194515839346076
