,Structure Abbreviation,Index,Voxel Number,Mean intensity
0,A24a_L,1.0,792,0.21051179907388157
1,A24aPrime_L,2.0,332,0.22100183886128016
2,A24b_L,3.0,860,0.24329982252661572
3,A24bPrime_L,4.0,219,0.2737714516245611
4,A29a_L,5.0,240,0.2685556580778211
5,A29b_L,6.0,93,0.27069405153874426
6,A29c_L,7.0,552,0.26351945631314017
7,A30_L,8.0,1833,0.26665390939113875
8,A32_L,9.0,1154,0.24166052960233836
9,Au1_L,10.0,716,0.2607543561815716
10,AuD_L,11.0,909,0.2824575389408567
11,AuV_L,12.0,752,0.24908837000344028
12,DLO_L,13.0,392,0.20176661181814817
13,Fr3_L,14.0,410,0.24611854767654
14,FrA_L,15.0,3857,0.24322055782306634
15,Ins_L,16.0,4218,0.2276368509296234
16,LO_L,17.0,1360,0.23632598068455563
17,LPtA_L,18.0,96,0.3174327144709726
18,M1_L,19.0,3869,0.25895809902335115
19,M2_L,20.0,3800,0.2592137296429198
20,MO_L,21.0,685,0.22859459714080296
21,MPtA_L,22.0,203,0.30778161909779894
22,PtPR_L,23.0,28,0.3022485396691731
23,S1_L,24.0,350,0.2985401604431016
24,S1BF_L,25.0,4742,0.2889921823190466
25,S1DZ_L,26.0,579,0.29575604105139847
26,S1FL_L,27.0,1785,0.28087896140767077
27,S1HL_L,28.0,1515,0.2786369185907022
28,S1J_L,29.0,1501,0.26481918159184814
29,S1Sh_L,30.0,34,0.3071156275622985
30,S1Tr_L,31.0,289,0.3069468606714559
31,S1ULp_L,32.0,2225,0.25842068545269165
32,S2_L,33.0,3091,0.24051181895375753
33,TeA_L,34.0,1423,0.2557301921789611
34,V1_L,35.0,258,0.3105379730578541
35,V1B_L,36.0,1014,0.27758301660433204
36,V1M_L,37.0,2195,0.2629448967126616
37,V2L_L,38.0,1284,0.2724341428127848
38,V2ML_L,39.0,562,0.3147029048262754
39,V2MM_L,40.0,966,0.30312379947082596
40,VO_L,41.0,661,0.21882070900813175
41,CEnt_L,42.0,2784,0.2196293779496296
42,DIEnt_L,43.0,637,0.24044335075599993
43,DLEnt_L,44.0,1323,0.2411296430437383
44,MEnt_L,45.0,282,0.24077916023790413
45,VIEnt_L,46.0,537,0.2453198384084293
46,Cl_L,47.0,4,0.25011875852942467
47,DCl_L,48.0,0,
48,PLCo_L,49.0,1144,0.20758537375335614
49,VCl_L,50.0,7,0.21553360990115575
50,Hc_L,51.0,14034,0.22399554576645664
51,DTT_L,52.0,244,0.2082997126901736
52,Ect_L,53.0,909,0.2499694341283427
53,PaS_L,54.0,499,0.2191103254715522
54,PRh_L,55.0,754,0.24018334802882424
55,PrS_L,56.0,56,0.21605238784104586
56,Pir_L,57.0,32450,0.24791592235500437
57,APir_L,58.0,130,0.2518688368109556
58,Hyp_L,59.0,6600,0.23202946737690858
59,Preopt_L,60.0,3187,0.23330257835809362
60,Sthal_L,61.0,270,0.22191616051174975
61,SPT_L,62.0,3690,0.22920491818570832
62,GP_L,63.0,1088,0.24082827572162976
63,CPu_L,64.0,11374,0.22081067577182606
64,Amy_L,65.0,6754,0.22807924207029678
65,Acb_L,66.0,1884,0.22714787368878184
66,BNst_L,67.0,330,0.23563411651235638
67,Vpal_L,68.0,923,0.25268907468858803
68,PAG_L,69.0,3825,0.21945727908338597
69,APT_L,70.0,350,0.2115030526476247
70,VTA_L,71.0,117,0.21666637795348453
71,Thal_R_L,72.0,6107,0.19820999311362836
72,VT_L,73.0,1379,0.2071224634871265
73,LDNT_L,74.0,147,0.21458794115757457
74,MGN_L,75.0,273,0.21101803141526687
75,LGN_L,76.0,445,0.20902957102555908
76,ZI_L,77.0,1083,0.20890820180500203
77,RTN_L,78.0,1204,0.21483063280730944
78,Sub_PP_L,79.0,132,0.2323109989590717
79,DpMe_L,80.0,1497,0.22326269267038576
80,SC_L,81.0,5574,0.22767516423068918
81,IC_L,82.0,3110,0.2542934353562174
82,SN_L,83.0,568,0.22160989859364402
83,RPC_L,84.0,70,0.2257459825703076
84,MRN_L,85.0,1978,0.22446126853943593
85,RI_L,86.0,207,0.21990991790513487
86,Cn_L,87.0,190,0.23193595221168117
87,PrCn_L,88.0,302,0.22242052325152403
88,BS_R_L,89.0,3755,0.20983484627135823
89,Iped_L,90.0,136,0.24266284359071186
90,Cb_1_10_L,91.0,29076,0.2342498558051966
91,Den_L,92.0,222,0.25509477077840687
92,Int_L,93.0,285,0.24739899023583062
93,FasDL_L,94.0,1,0.21402306854724884
94,FasMed_L,95.0,598,0.22922414202355224
95,Vll_L,96.0,18,0.1902478208972348
96,ParB_L,97.0,185,0.23912379298661207
97,KF_L,98.0,390,0.22620702848220484
98,PCRt_L,99.0,2856,0.2394410602811004
99,CG_L,100.0,1570,0.2221729628267182
100,Su5_L,101.0,137,0.22360248265475252
101,m5_L,102.0,60,0.213598845154047
102,5N_L,103.0,251,0.23283734276475185
103,PnO_L,104.0,3078,0.22752108728686193
104,Raph_L,105.0,223,0.22945444586565678
105,Pr5_L,106.0,398,0.21764850994600124
106,DTg_L,107.0,1097,0.22078664569606973
107,Tg_L,108.0,1,0.2712661027908325
108,CoN_L,109.0,301,0.21877640230810128
109,Pn_L,110.0,603,0.22267185759485064
110,RTg_L,111.0,197,0.21667874343504157
111,Oliv_L,112.0,789,0.24020355833158444
112,PnC_L,113.0,1501,0.23004535811492238
