,Structure Abbreviation,Index,Voxel Number,Mean intensity
0,A24a_L,1.0,679,0.1565198918094033
1,A24aPrime_L,2.0,237,0.19592944199400109
2,A24b_L,3.0,574,0.19645544284312152
3,A24bPrime_L,4.0,130,0.23986401833020723
4,A29a_L,5.0,198,0.21406930534526555
5,A29b_L,6.0,84,0.25894319053207127
6,A29c_L,7.0,367,0.2420959994399905
7,A30_L,8.0,1414,0.2757470368432695
8,A32_L,9.0,1121,0.19002094939949254
9,Au1_L,10.0,662,0.2431956491801674
10,AuD_L,11.0,834,0.2614439324759465
11,AuV_L,12.0,748,0.21656570993961496
12,DLO_L,13.0,341,0.1593892394709797
13,Fr3_L,14.0,402,0.18088314159592586
14,FrA_L,15.0,3717,0.21367089989609397
15,Ins_L,16.0,3856,0.1632184340469771
16,LO_L,17.0,1409,0.1671035743461931
17,LPtA_L,18.0,96,0.29019681985179585
18,M1_L,19.0,3263,0.2262286247055917
19,M2_L,20.0,3100,0.236282361001978
20,MO_L,21.0,726,0.1719286928348469
21,MPtA_L,22.0,184,0.2934782039374113
22,PtPR_L,23.0,32,0.28455869713798165
23,S1_L,24.0,378,0.2739169490794656
24,S1BF_L,25.0,4052,0.25311014777176294
25,S1DZ_L,26.0,619,0.26107159312302924
26,S1FL_L,27.0,1791,0.2420606849489433
27,S1HL_L,28.0,1335,0.25105217777834404
28,S1J_L,29.0,1510,0.19622725516261644
29,S1Sh_L,30.0,37,0.2677839321864618
30,S1Tr_L,31.0,257,0.2870762810864801
31,S1ULp_L,32.0,2192,0.20028782343954174
32,S2_L,33.0,2987,0.18298565202112338
33,TeA_L,34.0,1486,0.22088370655699663
34,V1_L,35.0,246,0.2996656007277287
35,V1B_L,36.0,944,0.2789870395040992
36,V1M_L,37.0,1891,0.26699041241473587
37,V2L_L,38.0,1281,0.26274793306009364
38,V2ML_L,39.0,511,0.31630688506213184
39,V2MM_L,40.0,791,0.3021412224104974
40,VO_L,41.0,671,0.16438413462455867
41,CEnt_L,42.0,2276,0.17964618790711429
42,DIEnt_L,43.0,582,0.17467586445234895
43,DLEnt_L,44.0,1071,0.18185018236730613
44,MEnt_L,45.0,282,0.17436109797645968
45,VIEnt_L,46.0,512,0.17039148138428573
46,Cl_L,47.0,4,0.15030845627188683
47,DCl_L,48.0,0,
48,PLCo_L,49.0,1012,0.14316067515537437
49,VCl_L,50.0,12,0.16883179172873497
50,Hc_L,51.0,13010,0.1836471762994933
51,DTT_L,52.0,281,0.1471440261263016
52,Ect_L,53.0,955,0.19813999723233477
53,PaS_L,54.0,560,0.17228486494028142
54,PRh_L,55.0,636,0.18607037569507487
55,PrS_L,56.0,69,0.17152456701665686
56,Pir_L,57.0,27427,0.1810434838142919
57,APir_L,58.0,94,0.16630469088224656
58,Hyp_L,59.0,5251,0.15627936182791585
59,Preopt_L,60.0,3154,0.16164056106116775
60,Sthal_L,61.0,240,0.1586018049468597
61,SPT_L,62.0,3597,0.1540235725125572
62,GP_L,63.0,982,0.1559708316008088
63,CPu_L,64.0,10160,0.15217040690087427
64,Amy_L,65.0,6301,0.15597384266107164
65,Acb_L,66.0,1912,0.15930776709152938
66,BNst_L,67.0,296,0.15912149844036713
67,Vpal_L,68.0,821,0.17219345511167553
68,PAG_L,69.0,3374,0.172286903572881
69,APT_L,70.0,261,0.1572716608072606
70,VTA_L,71.0,83,0.1539062021008457
71,Thal_R_L,72.0,5957,0.1439233913208457
72,VT_L,73.0,1368,0.1463352674945143
73,LDNT_L,74.0,146,0.1530810983928099
74,MGN_L,75.0,258,0.15237535328366036
75,LGN_L,76.0,438,0.15592182403830088
76,ZI_L,77.0,1085,0.14753373116941496
77,RTN_L,78.0,1131,0.15203359183566323
78,Sub_PP_L,79.0,118,0.16018210035764566
79,DpMe_L,80.0,1353,0.15302838006794056
80,SC_L,81.0,4697,0.1955288966904714
81,IC_L,82.0,3036,0.23018671105565486
82,SN_L,83.0,491,0.14901129611580047
83,RPC_L,84.0,59,0.1525055019784782
84,MRN_L,85.0,1904,0.15658168438939424
85,RI_L,86.0,198,0.15634224093472116
86,Cn_L,87.0,211,0.16578280615015617
87,PrCn_L,88.0,284,0.15948240750167572
88,BS_R_L,89.0,2913,0.1538299196174351
89,Iped_L,90.0,113,0.1634134182755926
90,Cb_1_10_L,91.0,24775,0.20087994060147363
91,Den_L,92.0,191,0.17498348501184224
92,Int_L,93.0,211,0.16853537498774687
93,FasDL_L,94.0,2,0.1684165671467781
94,FasMed_L,95.0,501,0.15711048626138302
95,Vll_L,96.0,17,0.13004011573160396
96,ParB_L,97.0,202,0.17275518835476128
97,KF_L,98.0,364,0.16003442465604006
98,PCRt_L,99.0,2357,0.1606916856490104
99,CG_L,100.0,1424,0.1548932007398833
100,Su5_L,101.0,146,0.16226855206162963
101,m5_L,102.0,43,0.13932555186194043
102,5N_L,103.0,173,0.16218781613373343
103,PnO_L,104.0,2736,0.15480520287855415
104,Raph_L,105.0,187,0.16417925047842577
105,Pr5_L,106.0,296,0.1473196534741972
106,DTg_L,107.0,986,0.1586076661899051
107,Tg_L,108.0,0,
108,CoN_L,109.0,231,0.15189175649638817
109,Pn_L,110.0,557,0.14103155289534178
110,RTg_L,111.0,186,0.14762103221108835
111,Oliv_L,112.0,775,0.1584624027532916
112,PnC_L,113.0,1314,0.15620021222661076
113,Sp5_L,114.0,1814,0.16368745467620424
114,Ve_L,115.0,1809,0.1587490802800675
115,Gi_L,116.0,4379,0.1529632246325511
116,Cu_L,117.0,471,0.16324200185367763
