,Structure Abbreviation,Index,Voxel Number,Mean intensity
0,A24a_L,1.0,649,0.12573058717813806
1,A24aPrime_L,2.0,275,0.1459911504929716
2,A24b_L,3.0,646,0.15128235152170016
3,A24bPrime_L,4.0,120,0.18437349659701188
4,A29a_L,5.0,203,0.14136919183794208
5,A29b_L,6.0,65,0.1500674327978721
6,A29c_L,7.0,407,0.1653989500913046
7,A30_L,8.0,1069,0.1609517857571759
8,A32_L,9.0,964,0.13765209150419444
9,Au1_L,10.0,525,0.13003713807889394
10,AuD_L,11.0,683,0.13316880602875006
11,AuV_L,12.0,499,0.12260477751015661
12,DLO_L,13.0,337,0.11665481583212532
13,Fr3_L,14.0,368,0.1305977039889473
14,FrA_L,15.0,2865,0.1438967325482485
15,Ins_L,16.0,2994,0.12077340976513659
16,LO_L,17.0,1255,0.11763732646744089
17,LPtA_L,18.0,68,0.18499452708398595
18,M1_L,19.0,2594,0.15726929057731293
19,M2_L,20.0,2168,0.1697628178575327
20,MO_L,21.0,626,0.12359053939104842
21,MPtA_L,22.0,119,0.19651238582715266
22,PtPR_L,23.0,20,0.1721910282969475
23,S1_L,24.0,221,0.14363747123814277
24,S1BF_L,25.0,3523,0.14615203770738822
25,S1DZ_L,26.0,396,0.15306655998633364
26,S1FL_L,27.0,1183,0.15646929066511703
27,S1HL_L,28.0,836,0.1762131537760844
28,S1J_L,29.0,1259,0.13574090544385886
29,S1Sh_L,30.0,20,0.17541120424866677
30,S1Tr_L,31.0,168,0.18595367377357824
31,S1ULp_L,32.0,1563,0.13612019357891778
32,S2_L,33.0,2144,0.12307038288320234
33,TeA_L,34.0,1074,0.13054383505184336
34,V1_L,35.0,207,0.16334964864063953
35,V1B_L,36.0,726,0.14195760899831442
36,V1M_L,37.0,1762,0.1409093070940181
37,V2L_L,38.0,996,0.13547375466091088
38,V2ML_L,39.0,364,0.18277299273145067
39,V2MM_L,40.0,612,0.16696587817292977
40,VO_L,41.0,596,0.11703493681129994
41,CEnt_L,42.0,1701,0.12150384844891259
42,DIEnt_L,43.0,486,0.12200238456022101
43,DLEnt_L,44.0,878,0.12149537717902308
44,MEnt_L,45.0,202,0.12498638989164097
45,VIEnt_L,46.0,451,0.12282293179214926
46,Cl_L,47.0,3,0.13426630198955536
47,DCl_L,48.0,0,
48,PLCo_L,49.0,694,0.11966105536571153
49,VCl_L,50.0,11,0.1138800016858361
50,Hc_L,51.0,11731,0.12423403678040666
51,DTT_L,52.0,245,0.11193049063487928
52,Ect_L,53.0,756,0.12081164245311388
53,PaS_L,54.0,421,0.1163383399328823
54,PRh_L,55.0,563,0.12450143966830433
55,PrS_L,56.0,42,0.12156342111882709
56,Pir_L,57.0,19205,0.11629322201354961
57,APir_L,58.0,104,0.1280213694732923
58,Hyp_L,59.0,5116,0.1206326504857618
59,Preopt_L,60.0,2807,0.11870961458003199
60,Sthal_L,61.0,257,0.11165289838838206
61,SPT_L,62.0,3495,0.11723944002946303
62,GP_L,63.0,868,0.11539164388526557
63,CPu_L,64.0,9360,0.11256356821713857
64,Amy_L,65.0,4970,0.11761738702924679
65,Acb_L,66.0,1811,0.11573899872004492
66,BNst_L,67.0,245,0.11925339370357747
67,Vpal_L,68.0,788,0.12402867611856933
68,PAG_L,69.0,3196,0.12365567575305589
69,APT_L,70.0,202,0.11576775323120084
70,VTA_L,71.0,96,0.11138670689736803
71,Thal_R_L,72.0,5379,0.10673454671483165
72,VT_L,73.0,1341,0.1054150989775023
73,LDNT_L,74.0,113,0.11180747241045522
74,MGN_L,75.0,254,0.10526947880999779
75,LGN_L,76.0,386,0.10848859253633825
76,ZI_L,77.0,948,0.10528062480867287
77,RTN_L,78.0,1080,0.10814717951817093
78,Sub_PP_L,79.0,165,0.11001205751390168
79,DpMe_L,80.0,1285,0.10710678887390442
80,SC_L,81.0,4656,0.1318697181767928
81,IC_L,82.0,3070,0.15291468765865707
82,SN_L,83.0,501,0.10771688307354788
83,RPC_L,84.0,53,0.1136618250945829
84,MRN_L,85.0,1738,0.11286496692117394
85,RI_L,86.0,202,0.11055544140462828
86,Cn_L,87.0,153,0.11868777179640103
87,PrCn_L,88.0,226,0.11396537632145713
88,BS_R_L,89.0,2188,0.11361011431315808
89,Iped_L,90.0,118,0.1079148449066837
90,Cb_1_10_L,91.0,21936,0.144331216537611
91,Den_L,92.0,241,0.13512974071675812
92,Int_L,93.0,254,0.136949179708723
93,FasDL_L,94.0,1,0.10802841186523438
94,FasMed_L,95.0,495,0.1237840953348863
95,Vll_L,96.0,18,0.08590364269912243
96,ParB_L,97.0,182,0.12486371574002308
97,KF_L,98.0,345,0.115688499138839
98,PCRt_L,99.0,2147,0.1249595158319169
99,CG_L,100.0,1539,0.11615327791183161
100,Su5_L,101.0,137,0.11404599543035465
101,m5_L,102.0,45,0.10356026622984145
102,5N_L,103.0,187,0.12059101147607049
103,PnO_L,104.0,2603,0.11467354624169723
104,Raph_L,105.0,198,0.11449820999846314
105,Pr5_L,106.0,339,0.10622386054127617
106,DTg_L,107.0,985,0.1171881788424429
107,Tg_L,108.0,0,
108,CoN_L,109.0,246,0.11598029814478827
109,Pn_L,110.0,562,0.13488466345648747
110,RTg_L,111.0,177,0.11330097884276492
111,Oliv_L,112.0,517,0.1305864343142256
112,PnC_L,113.0,1177,0.12384094936281012
113,Sp5_L,114.0,972,0.13860807470486733
114,Ve_L,115.0,1686,0.12042875571147686
115,Gi_L,116.0,2559,0.12906769893687886
116,Cu_L,117.0,254,0.13437104418756454
