,Structure Abbreviation,Index,Voxel Number,Mean intensity
0,A24a_L,1.0,773,0.21176959485548125
1,A24aPrime_L,2.0,304,0.24417241363737144
2,A24b_L,3.0,760,0.24536800774696627
3,A24bPrime_L,4.0,194,0.2828292646973403
4,A29a_L,5.0,257,0.2703513984753232
5,A29b_L,6.0,110,0.30324379964308307
6,A29c_L,7.0,467,0.29586856903177255
7,A30_L,8.0,1610,0.29888794750715636
8,A32_L,9.0,1200,0.22090747286876042
9,Au1_L,10.0,770,0.30851421727762596
10,AuD_L,11.0,990,0.3075462250471717
11,AuV_L,12.0,746,0.2799070606622395
12,DLO_L,13.0,381,0.1985426893521325
13,Fr3_L,14.0,466,0.2263323857484969
14,FrA_L,15.0,3665,0.2304569499280004
15,Ins_L,16.0,3904,0.2157141754888456
16,LO_L,17.0,1416,0.20400754708565225
17,LPtA_L,18.0,97,0.3404440729273963
18,M1_L,19.0,3570,0.27133323352272604
19,M2_L,20.0,2990,0.2654715944094004
20,MO_L,21.0,801,0.20650716994734442
21,MPtA_L,22.0,171,0.33900183796534067
22,PtPR_L,23.0,36,0.33117007712523144
23,S1_L,24.0,338,0.3193622419731857
24,S1BF_L,25.0,4990,0.30173072455924954
25,S1DZ_L,26.0,610,0.31175949131367636
26,S1FL_L,27.0,1768,0.29243849499816943
27,S1HL_L,28.0,1380,0.302303122928825
28,S1J_L,29.0,1572,0.24553357078942634
29,S1Sh_L,30.0,40,0.3286039050668478
30,S1Tr_L,31.0,291,0.3303390463295671
31,S1ULp_L,32.0,2345,0.2680632825281574
32,S2_L,33.0,3080,0.24901937203868837
33,TeA_L,34.0,1709,0.27481496250371334
34,V1_L,35.0,307,0.33118641274565597
35,V1B_L,36.0,1135,0.3134476015155536
36,V1M_L,37.0,2329,0.2938342678679346
37,V2L_L,38.0,1453,0.29573028778730387
38,V2ML_L,39.0,536,0.33989881351590157
39,V2MM_L,40.0,887,0.32751806607845807
40,VO_L,41.0,716,0.20164082359585017
41,CEnt_L,42.0,2803,0.2057000528748572
42,DIEnt_L,43.0,610,0.21839975106423018
43,DLEnt_L,44.0,1259,0.22917586004892637
44,MEnt_L,45.0,308,0.2063033158419194
45,VIEnt_L,46.0,558,0.20699417186520433
46,Cl_L,47.0,5,0.2163933366537094
47,DCl_L,48.0,0,
48,PLCo_L,49.0,895,0.1768166819139899
49,VCl_L,50.0,11,0.21615936403924768
50,Hc_L,51.0,14392,0.23811624711275872
51,DTT_L,52.0,270,0.18428054991419668
52,Ect_L,53.0,1025,0.25156635293146457
53,PaS_L,54.0,654,0.22475068739384685
54,PRh_L,55.0,756,0.2328731247406236
55,PrS_L,56.0,68,0.24195208334747484
56,Pir_L,57.0,27782,0.2144077300135569
57,APir_L,58.0,94,0.19120589905279747
58,Hyp_L,59.0,5349,0.20303906057956933
59,Preopt_L,60.0,3085,0.20622969055050197
60,Sthal_L,61.0,276,0.2127392691546592
61,SPT_L,62.0,3504,0.20187721543384027
62,GP_L,63.0,966,0.21510253402387133
63,CPu_L,64.0,10713,0.20939715748047236
64,Amy_L,65.0,6498,0.2001217008508437
65,Acb_L,66.0,1964,0.20213853798488007
66,BNst_L,67.0,268,0.21733392319127695
67,Vpal_L,68.0,848,0.22056974635793353
68,PAG_L,69.0,3156,0.23387132861730567
69,APT_L,70.0,256,0.26052357885055244
70,VTA_L,71.0,95,0.2034351239863195
71,Thal_R_L,72.0,5401,0.20731944463825672
72,VT_L,73.0,1488,0.21234246843083893
73,LDNT_L,74.0,150,0.23576472545663515
74,MGN_L,75.0,258,0.21694325234076772
75,LGN_L,76.0,436,0.2433768414781181
76,ZI_L,77.0,1006,0.20653705285569546
77,RTN_L,78.0,1213,0.21321756796879113
78,Sub_PP_L,79.0,135,0.2232151593323107
79,DpMe_L,80.0,1374,0.21210852903049585
80,SC_L,81.0,5916,0.2540147386565603
81,IC_L,82.0,3208,0.2555699019473362
82,SN_L,83.0,533,0.20168111376869746
83,RPC_L,84.0,61,0.2127456149605454
84,MRN_L,85.0,1790,0.2159340058729136
85,RI_L,86.0,224,0.21835649256328388
86,Cn_L,87.0,183,0.22923934980819785
87,PrCn_L,88.0,203,0.23869521886550735
88,BS_R_L,89.0,2923,0.17222022935824569
