,Structure Abbreviation,Index,Voxel Number,Mean intensity
0,A24a_L,1.0,816,0.2085691497104206
1,A24aPrime_L,2.0,330,0.20935205246011415
2,A24b_L,3.0,886,0.22608047545494397
3,A24bPrime_L,4.0,190,0.24296854436397552
4,A29a_L,5.0,254,0.2278066453501934
5,A29b_L,6.0,102,0.26818956741515326
6,A29c_L,7.0,518,0.24980921223471983
7,A30_L,8.0,1564,0.2745667843152876
8,A32_L,9.0,1398,0.22839953965681986
9,Au1_L,10.0,757,0.26332113126113205
10,AuD_L,11.0,902,0.26287659003240305
11,AuV_L,12.0,788,0.2567757078952293
12,DLO_L,13.0,371,0.20972862339646348
13,Fr3_L,14.0,454,0.24165890999302464
14,FrA_L,15.0,3612,0.23774401153255242
15,Ins_L,16.0,3930,0.2178614326447021
16,LO_L,17.0,1644,0.21395363418924693
17,LPtA_L,18.0,92,0.29955779761075974
18,M1_L,19.0,3788,0.24707949030928023
19,M2_L,20.0,3356,0.2451600623977536
20,MO_L,21.0,896,0.22227880656386592
21,MPtA_L,22.0,166,0.2912837998515152
22,PtPR_L,23.0,30,0.29000118325153984
23,S1_L,24.0,316,0.2877795385974872
24,S1BF_L,25.0,4864,0.25490535167352246
25,S1DZ_L,26.0,616,0.2635597720887367
26,S1FL_L,27.0,1723,0.25853609253051874
27,S1HL_L,28.0,1391,0.2581343274807262
28,S1J_L,29.0,1643,0.24697235184911542
29,S1Sh_L,30.0,34,0.2834968992015895
30,S1Tr_L,31.0,259,0.2916582660555379
31,S1ULp_L,32.0,2408,0.24000885945890235
32,S2_L,33.0,3133,0.23146735217708808
33,TeA_L,34.0,1584,0.2545260241763158
34,V1_L,35.0,288,0.2922924517446922
35,V1B_L,36.0,1095,0.2846832474821234
36,V1M_L,37.0,2151,0.27769905817402707
37,V2L_L,38.0,1458,0.2733152743188769
38,V2ML_L,39.0,545,0.3141491427060661
39,V2MM_L,40.0,839,0.3095484043208436
40,VO_L,41.0,844,0.21133636296572278
41,CEnt_L,42.0,2494,0.2215121361937108
42,DIEnt_L,43.0,578,0.24952321103854574
43,DLEnt_L,44.0,1254,0.23295593770307027
44,MEnt_L,45.0,275,0.2283647041429173
45,VIEnt_L,46.0,553,0.22487657157465088
46,Cl_L,47.0,6,0.22756794591744742
47,DCl_L,48.0,0,
48,PLCo_L,49.0,1021,0.15863718114698436
49,VCl_L,50.0,13,0.21896432454769427
50,Hc_L,51.0,14810,0.22332759986579379
51,DTT_L,52.0,277,0.2111128776162755
52,Ect_L,53.0,978,0.24407679709493504
53,PaS_L,54.0,629,0.22688905002818768
54,PRh_L,55.0,712,0.2228515949204899
55,PrS_L,56.0,86,0.22065055508946263
56,Pir_L,57.0,30062,0.21816530762503372
57,APir_L,58.0,114,0.20865994260499351
58,Hyp_L,59.0,5341,0.20665387710372599
59,Preopt_L,60.0,3308,0.20825457771026057
60,Sthal_L,61.0,250,0.23178852224349974
61,SPT_L,62.0,3571,0.2112439772334796
62,GP_L,63.0,1104,0.23261366857458715
63,CPu_L,64.0,11041,0.2152326398806375
64,Amy_L,65.0,6607,0.2037135784642381
65,Acb_L,66.0,2182,0.2177671830483143
66,BNst_L,67.0,291,0.23103909158624733
67,Vpal_L,68.0,992,0.2385623753371258
68,PAG_L,69.0,3660,0.22091674081207624
69,APT_L,70.0,316,0.20729091078561696
70,VTA_L,71.0,93,0.22862333716243827
71,Thal_R_L,72.0,6465,0.21848432685018784
72,VT_L,73.0,1142,0.21722271451286176
73,LDNT_L,74.0,230,0.23049488896908968
74,MGN_L,75.0,236,0.2210338313321946
75,LGN_L,76.0,484,0.2403338955299667
76,ZI_L,77.0,1116,0.21858330113699787
77,RTN_L,78.0,1117,0.22246326668890012
78,Sub_PP_L,79.0,164,0.23412143266419086
79,DpMe_L,80.0,1525,0.22302437866320377
80,SC_L,81.0,5641,0.22149275444702907
81,IC_L,82.0,3349,0.25189141686655364
