,Structure Abbreviation,Index,Voxel Number,Mean intensity
0,A24a_L,1.0,779,0.17662031066739053
1,A24aPrime_L,2.0,347,0.21968519992546665
2,A24b_L,3.0,815,0.21095014060933165
3,A24bPrime_L,4.0,218,0.2791141975636876
4,A29a_L,5.0,204,0.25339793148176637
5,A29b_L,6.0,108,0.29425493131081265
6,A29c_L,7.0,556,0.2928502259494589
7,A30_L,8.0,1496,0.32070039271969686
8,A32_L,9.0,1157,0.18885253367232369
9,Au1_L,10.0,638,0.2564795121527204
10,AuD_L,11.0,742,0.2865945972462067
11,AuV_L,12.0,701,0.23504211378420642
12,DLO_L,13.0,320,0.17369231577031313
13,Fr3_L,14.0,416,0.18782397449159852
14,FrA_L,15.0,3814,0.2069017406021683
15,Ins_L,16.0,3445,0.18057317262885791
16,LO_L,17.0,1396,0.1759127550584966
17,LPtA_L,18.0,120,0.3572521766026815
18,M1_L,19.0,3377,0.23642694874649256
19,M2_L,20.0,3101,0.24179202434118816
20,MO_L,21.0,775,0.17258362982542283
21,MPtA_L,22.0,193,0.37921452028146063
22,PtPR_L,23.0,34,0.3261398813303779
23,S1_L,24.0,310,0.3133210554238289
24,S1BF_L,25.0,4184,0.26644052214560815
25,S1DZ_L,26.0,634,0.2641134314967631
26,S1FL_L,27.0,1699,0.25931004708903616
27,S1HL_L,28.0,1400,0.2941165512480906
28,S1J_L,29.0,1494,0.19839264897297984
29,S1Sh_L,30.0,35,0.31095326457704814
30,S1Tr_L,31.0,281,0.34656407230689434
31,S1ULp_L,32.0,2067,0.22168331773501984
32,S2_L,33.0,2630,0.20657912773352838
33,TeA_L,34.0,1380,0.23177843574650478
34,V1_L,35.0,301,0.33443758322352984
35,V1B_L,36.0,952,0.307678525930881
36,V1M_L,37.0,1968,0.2995226255909547
37,V2L_L,38.0,1237,0.28022487880775016
38,V2ML_L,39.0,578,0.3678165403255954
39,V2MM_L,40.0,918,0.3446586242753176
40,VO_L,41.0,775,0.17130959577137425
41,CEnt_L,42.0,2231,0.1854281089699012
42,DIEnt_L,43.0,618,0.19422714574967773
43,DLEnt_L,44.0,1207,0.20116884769391896
44,MEnt_L,45.0,288,0.1870528836734593
45,VIEnt_L,46.0,513,0.18139433321955142
46,Cl_L,47.0,3,0.18397751450538635
47,DCl_L,48.0,0,
48,PLCo_L,49.0,855,0.1480606182538278
49,VCl_L,50.0,10,0.19371040165424347
50,Hc_L,51.0,13537,0.20889519839155768
51,DTT_L,52.0,259,0.16080819073215874
52,Ect_L,53.0,797,0.21814366801170962
53,PaS_L,54.0,499,0.18854834664919096
54,PRh_L,55.0,676,0.20748250287841763
55,PrS_L,56.0,71,0.19489778998032423
56,Pir_L,57.0,27750,0.19176710777024966
57,APir_L,58.0,100,0.17186908647418023
58,Hyp_L,59.0,4952,0.17567106063503274
59,Preopt_L,60.0,3018,0.1795495695096914
60,Sthal_L,61.0,247,0.1792753417240946
61,SPT_L,62.0,3492,0.17319512718334742
62,GP_L,63.0,949,0.18209343500929964
63,CPu_L,64.0,10367,0.17569737431311247
64,Amy_L,65.0,5770,0.17161068961773215
65,Acb_L,66.0,1929,0.1739224243721794
66,BNst_L,67.0,282,0.18268483763573862
67,Vpal_L,68.0,894,0.1928735950365829
68,PAG_L,69.0,3396,0.18972004086955135
69,APT_L,70.0,272,0.18205053586622372
70,VTA_L,71.0,88,0.17669320656833323
71,Thal_R_L,72.0,5601,0.170053136733691
72,VT_L,73.0,1457,0.17764620176102908
73,LDNT_L,74.0,164,0.18249472117096913
74,MGN_L,75.0,271,0.17970100760020014
75,LGN_L,76.0,476,0.18770749300342648
76,ZI_L,77.0,997,0.17307776902450123
77,RTN_L,78.0,1233,0.17893765883675844
78,Sub_PP_L,79.0,142,0.1873528698170689
79,DpMe_L,80.0,1462,0.17756633635829477
80,SC_L,81.0,4772,0.22325403552911458
81,IC_L,82.0,2970,0.2315879363002199
82,SN_L,83.0,504,0.17378258298609464
83,RPC_L,84.0,65,0.18508016971441416
84,MRN_L,85.0,1900,0.17944464928225468
85,RI_L,86.0,209,0.18339576900147936
86,Cn_L,87.0,197,0.17791560076668783
87,PrCn_L,88.0,282,0.17837629657476506
88,BS_R_L,89.0,2921,0.15254444878539455
89,Iped_L,90.0,112,0.19345177989453077
90,Cb_1_10_L,91.0,24147,0.18285685729784787
91,Den_L,92.0,197,0.17774386692621985
92,Int_L,93.0,223,0.17030790160856973
93,FasDL_L,94.0,2,0.16826047003269196
94,FasMed_L,95.0,533,0.1598281142272153
95,Vll_L,96.0,17,0.151710966054131
96,ParB_L,97.0,190,0.18714177420264796
97,KF_L,98.0,348,0.174090338421279
98,PCRt_L,99.0,2687,0.15337681600073255
99,CG_L,100.0,1302,0.1495888172126677
100,Su5_L,101.0,141,0.17999782101482364
101,m5_L,102.0,54,0.1534688401001471
102,5N_L,103.0,182,0.17841886589815328
103,PnO_L,104.0,2798,0.16742642864776647
104,Raph_L,105.0,193,0.18342269204286712
105,Pr5_L,106.0,338,0.15826079141370644
106,DTg_L,107.0,994,0.1732809342878685
107,Tg_L,108.0,0,
108,CoN_L,109.0,260,0.1517226513188619
109,Pn_L,110.0,498,0.15707662568453803
110,RTg_L,111.0,181,0.16117940703149658
111,Oliv_L,112.0,832,0.14810589880037767
112,PnC_L,113.0,1358,0.15416409188829394
113,Sp5_L,114.0,1993,0.13525664130654755
114,Ve_L,115.0,1687,0.15423977066761088
115,Gi_L,116.0,4563,0.13221583506792503
116,Cu_L,117.0,382,0.1446920360453154
117,ac_L,118.0,188,0.15479317676038185
118,ot_L,119.0,959,0.15294790024382604
119,fi_L,120.0,1064,0.16698563429421948
120,cc_L,121.0,7544,0.2003404511936791
121,fx_L,122.0,50,0.15425964593887329
122,st_L,123.0,419,0.1722163345335776
123,cg_L,124.0,426,0.24605578257584235
124,lo_L,125.0,380,0.1642538786130516
125,vhc_L,126.0,8,0.17349961213767529
126,ic_L,127.0,1585,0.1745162122868213
127,fr_L,128.0,0,
128,sm_L,129.0,37,0.14256228154172768
129,mt_L,130.0,0,
130,pc_L,131.0,16,0.1808361392468214
