,Structure Abbreviation,Index,Voxel Number,Mean intensity
0,A24a_L,1.0,795,0.2029999276049107
1,A24aPrime_L,2.0,306,0.2381393098412386
2,A24b_L,3.0,731,0.2393251692751364
3,A24bPrime_L,4.0,159,0.29647753570439683
4,A29a_L,5.0,198,0.25831271995874966
5,A29b_L,6.0,91,0.2851786234794737
6,A29c_L,7.0,502,0.2868352410535651
7,A30_L,8.0,1346,0.3041743379208034
8,A32_L,9.0,1301,0.21452707586542263
9,Au1_L,10.0,554,0.2797286596270244
10,AuD_L,11.0,745,0.30034367484134317
11,AuV_L,12.0,591,0.2682731750652875
12,DLO_L,13.0,386,0.18334197529007734
13,Fr3_L,14.0,394,0.214050594320152
14,FrA_L,15.0,3999,0.21184809216784667
15,Ins_L,16.0,3681,0.2051631362248021
16,LO_L,17.0,1478,0.2013378515688347
17,LPtA_L,18.0,84,0.3573793204767363
18,M1_L,19.0,3322,0.26148792997469106
19,M2_L,20.0,2973,0.25382350648578234
20,MO_L,21.0,824,0.20565988979691152
21,MPtA_L,22.0,157,0.36883671648183447
22,PtPR_L,23.0,26,0.3468935844989923
23,S1_L,24.0,267,0.3185615139954099
24,S1BF_L,25.0,4165,0.29307006496269733
25,S1DZ_L,26.0,507,0.2939883438499251
26,S1FL_L,27.0,1452,0.28403604837242236
27,S1HL_L,28.0,1126,0.31501468072511374
28,S1J_L,29.0,1509,0.22912902345990724
29,S1Sh_L,30.0,30,0.33620724032322563
30,S1Tr_L,31.0,237,0.35202414413544697
31,S1ULp_L,32.0,2087,0.25546684412077736
32,S2_L,33.0,2761,0.23809994470324045
33,TeA_L,34.0,1292,0.269569985868392
34,V1_L,35.0,219,0.3410598576477129
35,V1B_L,36.0,804,0.31540802801352236
36,V1M_L,37.0,1714,0.3000193935239746
37,V2L_L,38.0,1067,0.2929640449478789
38,V2ML_L,39.0,371,0.35689157568862173
39,V2MM_L,40.0,708,0.3282442075216164
40,VO_L,41.0,788,0.199068554918173
41,CEnt_L,42.0,2577,0.20865739316404514
42,DIEnt_L,43.0,433,0.21892717229438985
43,DLEnt_L,44.0,806,0.23745902954940465
44,MEnt_L,45.0,231,0.21458849272170624
45,VIEnt_L,46.0,410,0.2107767642634671
46,Cl_L,47.0,3,0.1991798480351766
47,DCl_L,48.0,0,
48,PLCo_L,49.0,833,0.17336057313904613
49,VCl_L,50.0,9,0.21867132683595022
50,Hc_L,51.0,12862,0.23263689613222027
51,DTT_L,52.0,230,0.19015453950218533
52,Ect_L,53.0,795,0.2515930820748491
53,PaS_L,54.0,490,0.21680677253372815
54,PRh_L,55.0,534,0.24655078597059857
55,PrS_L,56.0,49,0.22020999311792608
56,Pir_L,57.0,22998,0.20322696874720803
57,APir_L,58.0,79,0.21510361304766015
58,Hyp_L,59.0,5212,0.20670667810955942
59,Preopt_L,60.0,2746,0.20644407045538418
60,Sthal_L,61.0,245,0.21926829468230813
61,SPT_L,62.0,3281,0.20387038590226986
62,GP_L,63.0,1041,0.22715496826526868
63,CPu_L,64.0,10594,0.20958987345867322
64,Amy_L,65.0,5715,0.2012526806698149
65,Acb_L,66.0,1800,0.19824987794790003
66,BNst_L,67.0,278,0.22958701736421036
67,Vpal_L,68.0,855,0.22979233930682577
68,PAG_L,69.0,3633,0.23002287310089514
69,APT_L,70.0,256,0.2172635633032769
70,VTA_L,71.0,116,0.1991598237113192
71,Thal_R_L,72.0,5791,0.20651703294571808
72,VT_L,73.0,1457,0.21115493583163744
73,LDNT_L,74.0,150,0.21560561741391818
74,MGN_L,75.0,275,0.21136570545760067
75,LGN_L,76.0,403,0.21662605788660405
76,ZI_L,77.0,1069,0.20342303692625435
77,RTN_L,78.0,1219,0.21482778596061483
78,Sub_PP_L,79.0,136,0.23005662398303256
79,DpMe_L,80.0,1394,0.21614732685227647
80,SC_L,81.0,5058,0.24119227019662665
81,IC_L,82.0,3034,0.2656427191830705
82,SN_L,83.0,528,0.21239302184602077
83,RPC_L,84.0,65,0.22279871862668257
84,MRN_L,85.0,1839,0.2183393716868854
85,RI_L,86.0,196,0.22001820931933364
86,Cn_L,87.0,180,0.23030132510595852
87,PrCn_L,88.0,265,0.22400047306744558
88,BS_R_L,89.0,2684,0.19082380659897685
89,Iped_L,90.0,164,0.1871673270560256
90,Cb_1_10_L,91.0,21265,0.21673493413274328
91,Den_L,92.0,208,0.21520469366357878
92,Int_L,93.0,226,0.20657370734003794
93,FasDL_L,94.0,2,0.21046308428049088
94,FasMed_L,95.0,525,0.20081905770869482
95,Vll_L,96.0,24,0.15904370850572982
96,ParB_L,97.0,195,0.2341483725187106
97,KF_L,98.0,410,0.21589665496494712
98,PCRt_L,99.0,2353,0.18591990997904775
99,CG_L,100.0,1226,0.19520539636032422
100,Su5_L,101.0,147,0.21942325240495253
101,m5_L,102.0,39,0.17624652309295458
102,5N_L,103.0,189,0.2217192761797123
103,PnO_L,104.0,2931,0.2049247542417159
104,Raph_L,105.0,194,0.21866083805708542
105,Pr5_L,106.0,373,0.18204610638979613
106,DTg_L,107.0,1048,0.21869006575945452
107,Tg_L,108.0,1,0.27803313732147217
108,CoN_L,109.0,387,0.1608305761460648
109,Pn_L,110.0,670,0.2813813948197596
110,RTg_L,111.0,232,0.18046996517684952
111,Oliv_L,112.0,782,0.16992033361111913
112,PnC_L,113.0,1325,0.19709126191881468
113,Sp5_L,114.0,1331,0.16608035940590163
114,Ve_L,115.0,1621,0.19790011775357572
115,Gi_L,116.0,3622,0.17073812668763558
116,Cu_L,117.0,314,0.18619085048699074
117,ac_L,118.0,178,0.1866919364403473
118,ot_L,119.0,1002,0.1806149255677671
119,fi_L,120.0,1014,0.19301728741862836
120,cc_L,121.0,7733,0.2143120679078937
121,fx_L,122.0,32,0.19487196300178766
122,st_L,123.0,437,0.20901453529124403
123,cg_L,124.0,369,0.25975600765326484
124,lo_L,125.0,418,0.18069710159166294
125,vhc_L,126.0,7,0.22906991839408875
126,ic_L,127.0,1646,0.21236356893692387
127,fr_L,128.0,0,
128,sm_L,129.0,32,0.1597514929017052
129,mt_L,130.0,0,
130,pc_L,131.0,16,0.19848586712032557
131,bsc_L,132.0,6,0.20380918681621552
132,cp_L,133.0,1301,0.20858216961755557
133,ll_L,134.0,453,0.20499412515601576
134,sp5_L,135.0,1467,0.1401481560882798
135,py_L,136.0,413,0.1293255722073536
136,n8_L,137.0,72,0.16651333019965225
137,n7_L,138.0,2,0.19706334173679352
138,lfp_L,139.0,15,0.17098856568336487
139,mlf_ts_L,140.0,738,0.17569637481315026
140,sc_L,141.0,220,0.14680353799326853
141,ml_L,142.0,96,0.20223007056241235
142,vsc_L,143.0,692,0.20561242448650516
143,mcp_L,144.0,1098,0.18488495853239287
144,scp_L,145.0,349,0.20677756409248854
145,icp_oc_tz_L,146.0,300,0.17082982872923216
146,cbw_L,147.0,3156,0.1887198775647862
