,Structure Abbreviation,Index,Voxel Number,Mean intensity
0,A24a_L,1.0,655,0.28471981465588997
1,A24aPrime_L,2.0,280,0.28994739821978976
2,A24b_L,3.0,809,0.2878012011202952
3,A24bPrime_L,4.0,225,0.30600059529145557
4,A29a_L,5.0,175,0.29579029508999416
5,A29b_L,6.0,119,0.32083651423454285
6,A29c_L,7.0,565,0.320706248204265
7,A30_L,8.0,1602,0.3289269246858604
8,A32_L,9.0,1109,0.2839299461076236
9,Au1_L,10.0,685,0.3212602983861074
10,AuD_L,11.0,844,0.33896033971689604
11,AuV_L,12.0,763,0.32430757478680244
12,DLO_L,13.0,307,0.28709716626506676
13,Fr3_L,14.0,361,0.3055384281269401
14,FrA_L,15.0,3493,0.2876687230104503
15,Ins_L,16.0,3680,0.29816701939916646
16,LO_L,17.0,1389,0.2938912805462158
17,LPtA_L,18.0,88,0.3589082174003124
18,M1_L,19.0,3357,0.30708438466423177
19,M2_L,20.0,3229,0.2953822526263956
20,MO_L,21.0,607,0.2754238316117244
21,MPtA_L,22.0,161,0.3541998734570438
22,PtPR_L,23.0,33,0.35377824306488037
23,S1_L,24.0,304,0.3554071210520832
24,S1BF_L,25.0,4297,0.3388234384137724
25,S1DZ_L,26.0,547,0.352505916705733
26,S1FL_L,27.0,1674,0.3381906387306029
27,S1HL_L,28.0,1260,0.3230475687200115
28,S1J_L,29.0,1301,0.3208233589946445
29,S1Sh_L,30.0,34,0.363751644597334
30,S1Tr_L,31.0,250,0.35511914467811584
31,S1ULp_L,32.0,1903,0.3202447362099268
32,S2_L,33.0,2725,0.3031951889341031
33,TeA_L,34.0,1445,0.32320233120431535
34,V1_L,35.0,250,0.3602334942817688
35,V1B_L,36.0,957,0.3537906410411981
36,V1M_L,37.0,2061,0.33923210188374103
37,V2L_L,38.0,1345,0.34331012794187077
38,V2ML_L,39.0,520,0.37396962826068586
39,V2MM_L,40.0,907,0.3596213820257944
40,VO_L,41.0,655,0.27511861547258976
41,CEnt_L,42.0,2376,0.29007423871670307
42,DIEnt_L,43.0,601,0.3098136202343887
43,DLEnt_L,44.0,1233,0.31278082441360316
44,MEnt_L,45.0,231,0.29716465386735413
45,VIEnt_L,46.0,444,0.2960716948114537
46,Cl_L,47.0,6,0.30560937027136487
47,DCl_L,48.0,0,
48,PLCo_L,49.0,956,0.23128580480471067
49,VCl_L,50.0,9,0.31254981292618644
50,Hc_L,51.0,13638,0.2945455285074652
51,DTT_L,52.0,229,0.2786907874470715
52,Ect_L,53.0,925,0.32713309226809323
53,PaS_L,54.0,500,0.2931601379513741
54,PRh_L,55.0,696,0.30914428104892716
55,PrS_L,56.0,56,0.2899544696722712
56,Pir_L,57.0,28204,0.29645945684806807
57,APir_L,58.0,98,0.2865444874885131
58,Hyp_L,59.0,5846,0.26780036359125625
59,Preopt_L,60.0,3047,0.2814476967412975
60,Sthal_L,61.0,257,0.3100609208823178
61,SPT_L,62.0,3480,0.28471163099246294
62,GP_L,63.0,1042,0.3200048942855361
63,CPu_L,64.0,10466,0.2970209935957311
64,Amy_L,65.0,6306,0.27497209223856295
65,Acb_L,66.0,1918,0.28460688760836256
66,BNst_L,67.0,319,0.3220982497855787
67,Vpal_L,68.0,831,0.3207550499090649
