,Structure Abbreviation,Index,Voxel Number,Mean intensity
0,A24a_L,1.0,742,0.5396636014759059
1,A24aPrime_L,2.0,328,0.6059676265207733
2,A24b_L,3.0,851,0.656606714712887
3,A24bPrime_L,4.0,200,0.8028379556536674
4,A29a_L,5.0,214,0.777649652595832
5,A29b_L,6.0,119,0.7109624933795768
6,A29c_L,7.0,577,0.7343768245012756
7,A30_L,8.0,1716,0.7640994968009995
8,A32_L,9.0,1095,0.6408348256322347
9,Au1_L,10.0,737,0.7105428463851419
10,AuD_L,11.0,898,0.8113799723723949
11,AuV_L,12.0,817,0.6755927174809221
12,DLO_L,13.0,356,0.5398162847405739
13,Fr3_L,14.0,418,0.6613280049494009
14,FrA_L,15.0,3739,0.6741524276570956
15,Ins_L,16.0,4557,0.5451950291995289
16,LO_L,17.0,1447,0.5880419428421039
17,LPtA_L,18.0,103,0.9078140785393206
18,M1_L,19.0,3785,0.7379142894337011
19,M2_L,20.0,3631,0.7494825846119316
20,MO_L,21.0,615,0.5909099179554761
21,MPtA_L,22.0,163,0.9066238260707973
22,PtPR_L,23.0,35,0.9143520099776131
23,S1_L,24.0,392,0.8803541044495544
24,S1BF_L,25.0,5112,0.8583838314004534
25,S1DZ_L,26.0,612,0.8824500860342013
26,S1FL_L,27.0,1756,0.8545207261852495
27,S1HL_L,28.0,1424,0.8489284094820699
28,S1J_L,29.0,1524,0.7136970610599819
29,S1Sh_L,30.0,38,1.0296067219031484
30,S1Tr_L,31.0,271,0.8940419642687724
31,S1ULp_L,32.0,2228,0.7119808989230885
32,S2_L,33.0,3162,0.6200963388810348
33,TeA_L,34.0,1659,0.6571116668136814
34,V1_L,35.0,309,0.9248330034195027
35,V1B_L,36.0,1173,0.8459638485340409
36,V1M_L,37.0,2417,0.7323720709759438
37,V2L_L,38.0,1389,0.7963505546616684
38,V2ML_L,39.0,656,0.8735497083696651
39,V2MM_L,40.0,1040,0.8134569969314795
40,VO_L,41.0,705,0.5515415100341148
41,CEnt_L,42.0,2899,0.5273999111401126
42,DIEnt_L,43.0,642,0.5762950647796425
43,DLEnt_L,44.0,1245,0.5724431947531949
44,MEnt_L,45.0,282,0.5762512486243079
45,VIEnt_L,46.0,544,0.5766450722756631
46,Cl_L,47.0,2,0.6326220631599426
47,DCl_L,48.0,0,
48,PLCo_L,49.0,1256,0.5478861994721043
49,VCl_L,50.0,11,0.5578015013174578
50,Hc_L,51.0,13613,0.5911619031846562
51,DTT_L,52.0,186,0.49854776054941197
52,Ect_L,53.0,981,0.637343462621157
53,PaS_L,54.0,518,0.5207512548416278
54,PRh_L,55.0,805,0.5528929943993965
55,PrS_L,56.0,49,0.5500576058212592
56,Pir_L,57.0,32815,0.5947737395515915
57,APir_L,58.0,132,0.5721380578523333
58,Hyp_L,59.0,6888,0.5535174910688684
59,Preopt_L,60.0,3296,0.5382067673902923
60,Sthal_L,61.0,288,0.5214369803046187
61,SPT_L,62.0,3596,0.5270492791988627
62,GP_L,63.0,1094,0.5692409205044427
63,CPu_L,64.0,11280,0.5364542887063948
64,Amy_L,65.0,7234,0.5333515660770861
65,Acb_L,66.0,1958,0.5226159181305045
66,BNst_L,67.0,321,0.5338314203458412
67,Vpal_L,68.0,1021,0.5929410051879173
68,PAG_L,69.0,4037,0.5237969653364866
69,APT_L,70.0,261,0.5183090959243848
70,VTA_L,71.0,127,0.4875886909605011
71,Thal_R_L,72.0,6209,0.4609556732056394
72,VT_L,73.0,1466,0.4838325843357292
73,LDNT_L,74.0,145,0.4838865393194659
74,MGN_L,75.0,283,0.4824160457499878
75,LGN_L,76.0,445,0.509179238991791
76,ZI_L,77.0,1086,0.489364059014215
77,RTN_L,78.0,1171,0.5064212095269172
78,Sub_PP_L,79.0,134,0.5260645744960699
79,DpMe_L,80.0,1476,0.5133367757689016
80,SC_L,81.0,5412,0.6097158708011474
81,IC_L,82.0,3167,0.6283470438431594
82,SN_L,83.0,539,0.5002727010918018
