,Structure Abbreviation,Index,Voxel Number,Mean intensity
0,A24a_L,1.0,776,0.16259927734655819
1,A24aPrime_L,2.0,253,0.16588598910881125
2,A24b_L,3.0,670,0.17329521735212697
3,A24bPrime_L,4.0,197,0.18052851541090736
4,A29a_L,5.0,166,0.17542691479425832
5,A29b_L,6.0,113,0.1922609932654727
6,A29c_L,7.0,484,0.18743755686874233
7,A30_L,8.0,1900,0.19747127629228328
8,A32_L,9.0,1143,0.172685222969124
9,Au1_L,10.0,653,0.2450387278888346
10,AuD_L,11.0,889,0.24735623848686336
11,AuV_L,12.0,741,0.23539331205460706
12,DLO_L,13.0,312,0.173546083104343
13,Fr3_L,14.0,423,0.18611155503185084
14,FrA_L,15.0,3979,0.18406405223879452
15,Ins_L,16.0,3928,0.18172985195825275
16,LO_L,17.0,1372,0.1778197456965815
17,LPtA_L,18.0,112,0.22131608413266285
18,M1_L,19.0,3453,0.18648267875792598
19,M2_L,20.0,3311,0.1758068084617786
20,MO_L,21.0,816,0.16899464064843805
21,MPtA_L,22.0,200,0.2199972864985466
22,PtPR_L,23.0,33,0.23176002592751474
23,S1_L,24.0,324,0.24115289977671187
24,S1BF_L,25.0,5037,0.21718172689003795
25,S1DZ_L,26.0,595,0.2124736801666372
26,S1FL_L,27.0,1646,0.2041039307435402
27,S1HL_L,28.0,1340,0.21143071021495471
28,S1J_L,29.0,1507,0.19378396149850793
29,S1Sh_L,30.0,31,0.22935583610688487
30,S1Tr_L,31.0,274,0.22512616548877562
31,S1ULp_L,32.0,2126,0.20992798296347442
32,S2_L,33.0,3018,0.20590480826819788
33,TeA_L,34.0,1535,0.23625185040192806
34,V1_L,35.0,363,0.23189825529730354
35,V1B_L,36.0,1018,0.23854006503384803
36,V1M_L,37.0,2269,0.22432530369591536
37,V2L_L,38.0,1297,0.245216717066081
38,V2ML_L,39.0,657,0.23461354230183262
39,V2MM_L,40.0,1103,0.22366950091511578
40,VO_L,41.0,668,0.167846081499568
41,CEnt_L,42.0,2458,0.1808299815238274
42,DIEnt_L,43.0,626,0.1897286506482778
43,DLEnt_L,44.0,1188,0.19859252199656033
44,MEnt_L,45.0,257,0.19191194867809458
45,VIEnt_L,46.0,517,0.1850040905480228
