,Structure Abbreviation,Index,Voxel Number,Mean intensity
0,A24a_L,1.0,780,0.2463682236436468
1,A24aPrime_L,2.0,308,0.262655667863883
2,A24b_L,3.0,808,0.26414355296309633
3,A24bPrime_L,4.0,162,0.31658887173290606
4,A29a_L,5.0,229,0.28523134000957273
5,A29b_L,6.0,97,0.32634115165349137
6,A29c_L,7.0,503,0.3187657811532675
7,A30_L,8.0,1335,0.3449418513013629
8,A32_L,9.0,1379,0.2603106623849115
9,Au1_L,10.0,702,0.31271489414564224
10,AuD_L,11.0,849,0.337595578726245
11,AuV_L,12.0,771,0.2923321174276478
12,DLO_L,13.0,346,0.24515472834854457
13,Fr3_L,14.0,418,0.26234901678619205
14,FrA_L,15.0,3180,0.2833986323127675
15,Ins_L,16.0,4223,0.24191486687808983
16,LO_L,17.0,1517,0.2538245205590029
17,LPtA_L,18.0,107,0.364879183958624
18,M1_L,19.0,3248,0.2847127669773023
19,M2_L,20.0,2735,0.2949450044829732
20,MO_L,21.0,759,0.26151324875348486
21,MPtA_L,22.0,151,0.3813681472216221
22,PtPR_L,23.0,36,0.35828108174933326
23,S1_L,24.0,288,0.3999669450438685
24,S1BF_L,25.0,4193,0.32750320037964165
25,S1DZ_L,26.0,583,0.316274341138313
26,S1FL_L,27.0,1657,0.3020404268215777
27,S1HL_L,28.0,1338,0.3214927213753731
28,S1J_L,29.0,1526,0.2759430630042231
29,S1Sh_L,30.0,43,0.32247996815415314
30,S1Tr_L,31.0,267,0.36378873159153186
31,S1ULp_L,32.0,2178,0.28491953353990207
32,S2_L,33.0,3238,0.2626266350717715
33,TeA_L,34.0,1625,0.2935840286887609
34,V1_L,35.0,254,0.3643478967073395
35,V1B_L,36.0,968,0.3735845940002848
36,V1M_L,37.0,1942,0.3427221042005274
37,V2L_L,38.0,1283,0.3447987044219941
38,V2ML_L,39.0,495,0.3899442212750213
39,V2MM_L,40.0,794,0.37371676587863295
40,VO_L,41.0,858,0.24915333113053462
41,CEnt_L,42.0,2322,0.24793138383092755
42,DIEnt_L,43.0,638,0.22187086482033086
43,DLEnt_L,44.0,1173,0.2405506240526327
44,MEnt_L,45.0,267,0.24034695394253464
45,VIEnt_L,46.0,518,0.2283199842458296
46,Cl_L,47.0,3,0.29510395725568134
47,DCl_L,48.0,0,
48,PLCo_L,49.0,822,0.1559593587560883
49,VCl_L,50.0,8,0.24802586063742638
50,Hc_L,51.0,13339,0.2706963486281888
51,DTT_L,52.0,264,0.24257610741099625
52,Ect_L,53.0,996,0.2795021681780796
53,PaS_L,54.0,545,0.26663163203165074
54,PRh_L,55.0,695,0.25501036083848355
55,PrS_L,56.0,69,0.2622230104778124
56,Pir_L,57.0,27790,0.258030514763323
57,APir_L,58.0,99,0.18713476418545752
58,Hyp_L,59.0,5172,0.23753961037314292
59,Preopt_L,60.0,2879,0.24979770792109265
60,Sthal_L,61.0,264,0.26318817766326846
61,SPT_L,62.0,3473,0.2534571568302761
62,GP_L,63.0,1020,0.27848501047667334
63,CPu_L,64.0,11045,0.2521062721975144
64,Amy_L,65.0,5579,0.22552366700703835
65,Acb_L,66.0,1941,0.25421447206685865
66,BNst_L,67.0,289,0.28148843440836274
67,Vpal_L,68.0,874,0.2786389530659813
68,PAG_L,69.0,3525,0.26400170668431205
69,APT_L,70.0,283,0.25025243701762107
70,VTA_L,71.0,92,0.24797366559505463
71,Thal_R_L,72.0,5751,0.24942967016654746
72,VT_L,73.0,1379,0.25404170021533623
73,LDNT_L,74.0,153,0.2558228525460935
74,MGN_L,75.0,258,0.25921918919613196
75,LGN_L,76.0,410,0.2525465323430736
76,ZI_L,77.0,957,0.2611755684967948
77,RTN_L,78.0,1098,0.26159212412567084
78,Sub_PP_L,79.0,123,0.27998167349071035
79,DpMe_L,80.0,1423,0.2648717889422191
80,SC_L,81.0,4726,0.26616615026486135
81,IC_L,82.0,3043,0.2945073830148048
82,SN_L,83.0,499,0.25190765080686084
83,RPC_L,84.0,59,0.276403565022905
