,Structure Abbreviation,Index,Voxel Number,Mean intensity
0,A24a_L,1.0,828,0.17627608134514755
1,A24aPrime_L,2.0,323,0.19987870028513505
2,A24b_L,3.0,868,0.19872535389208573
3,A24bPrime_L,4.0,185,0.2514645835032334
4,A29a_L,5.0,197,0.2208019738194301
5,A29b_L,6.0,111,0.25598999703521125
6,A29c_L,7.0,525,0.2567188678752808
7,A30_L,8.0,1693,0.2715313840444033
8,A32_L,9.0,1327,0.18705585455211735
9,Au1_L,10.0,657,0.2598427404256898
10,AuD_L,11.0,911,0.26566173165676754
11,AuV_L,12.0,747,0.23979893887298334
12,DLO_L,13.0,342,0.17089603991623512
13,Fr3_L,14.0,392,0.19568243178025801
14,FrA_L,15.0,3383,0.19941564636624867
15,Ins_L,16.0,4007,0.1867799764163913
16,LO_L,17.0,1488,0.17607718868361366
17,LPtA_L,18.0,95,0.32190307237600024
18,M1_L,19.0,3543,0.22944173380215221
19,M2_L,20.0,3167,0.22334529673148396
20,MO_L,21.0,795,0.17713300394562057
21,MPtA_L,22.0,175,0.3269295270102365
22,PtPR_L,23.0,34,0.3076880618053324
23,S1_L,24.0,410,0.28893473722585816
24,S1BF_L,25.0,5166,0.2626775012726914
25,S1DZ_L,26.0,610,0.2672639248801059
26,S1FL_L,27.0,1741,0.2547406914597404
27,S1HL_L,28.0,1388,0.2657576138717297
28,S1J_L,29.0,1514,0.2100899652965475
29,S1Sh_L,30.0,36,0.3102712730566661
30,S1Tr_L,31.0,301,0.3102873750402286
31,S1ULp_L,32.0,2165,0.2290037599708412
32,S2_L,33.0,2969,0.21377408991948288
33,TeA_L,34.0,1621,0.22876481017825193
34,V1_L,35.0,299,0.3174075565011206
35,V1B_L,36.0,1120,0.28095907965408906
36,V1M_L,37.0,2281,0.2653379826816693
37,V2L_L,38.0,1477,0.2597119524197233
38,V2ML_L,39.0,548,0.33256488297488135
39,V2MM_L,40.0,905,0.3042487433272831
40,VO_L,41.0,764,0.17300116724251766
41,CEnt_L,42.0,2527,0.17584095403056726
42,DIEnt_L,43.0,579,0.18997317021117516
43,DLEnt_L,44.0,1135,0.19244981939506425
44,MEnt_L,45.0,285,0.1746122109001143
45,VIEnt_L,46.0,543,0.17736420866863503
46,Cl_L,47.0,5,0.18622293174266816
47,DCl_L,48.0,0,
48,PLCo_L,49.0,870,0.1582260505521092
