,Structure Abbreviation,Index,Voxel Number,Mean intensity
0,A24a_L,1.0,720,0.24184376171065702
1,A24aPrime_L,2.0,302,0.2383860679503703
2,A24b_L,3.0,726,0.2525020338410188
3,A24bPrime_L,4.0,151,0.2738675267885852
4,A29a_L,5.0,167,0.24940595142320246
5,A29b_L,6.0,97,0.2732787728693682
6,A29c_L,7.0,440,0.2738652289929715
7,A30_L,8.0,1349,0.27781250899184007
8,A32_L,9.0,1170,0.2578181174193692
9,Au1_L,10.0,679,0.29035843507728276
10,AuD_L,11.0,778,0.2963388589495712
11,AuV_L,12.0,755,0.29076278383368687
12,DLO_L,13.0,338,0.2514191999061573
13,Fr3_L,14.0,430,0.27043211997248406
14,FrA_L,15.0,3114,0.27367871620033746
15,Ins_L,16.0,3839,0.2549208399615784
16,LO_L,17.0,1633,0.2532327250969315
17,LPtA_L,18.0,81,0.3117326792375541
18,M1_L,19.0,3358,0.26773621518322405
19,M2_L,20.0,2968,0.2674144132218432
20,MO_L,21.0,677,0.262467631098967
21,MPtA_L,22.0,141,0.3088177629607789
22,PtPR_L,23.0,33,0.2965841166900866
23,S1_L,24.0,311,0.3124260532511009
24,S1BF_L,25.0,4393,0.3054304702757378
25,S1DZ_L,26.0,672,0.2973691133471827
26,S1FL_L,27.0,1790,0.29286407909496537
27,S1HL_L,28.0,1281,0.29009874405849734
28,S1J_L,29.0,1576,0.2822536616515236
29,S1Sh_L,30.0,35,0.29981639470372884
30,S1Tr_L,31.0,231,0.30900932829101363
31,S1ULp_L,32.0,2112,0.287134069540171
32,S2_L,33.0,2957,0.2730730901080781
33,TeA_L,34.0,1535,0.285016060846248
34,V1_L,35.0,250,0.30394186681509017
35,V1B_L,36.0,922,0.29251371594772163
36,V1M_L,37.0,1846,0.27909134271658576
37,V2L_L,38.0,1316,0.29703512903314233
38,V2ML_L,39.0,472,0.3043205242730298
39,V2MM_L,40.0,724,0.29469459499772743
40,VO_L,41.0,875,0.2495608321598598
41,CEnt_L,42.0,2371,0.25404493474585754
42,DIEnt_L,43.0,628,0.2390417421509506
43,DLEnt_L,44.0,1157,0.2547845760281475
44,MEnt_L,45.0,277,0.24289977243876198
45,VIEnt_L,46.0,493,0.2333973107545903
46,Cl_L,47.0,3,0.2383753607670466
47,DCl_L,48.0,0,
48,PLCo_L,49.0,1069,0.16283428985050508
49,VCl_L,50.0,11,0.23824283887039532
50,Hc_L,51.0,13675,0.2617427806708778
51,DTT_L,52.0,234,0.24159120695076436
52,Ect_L,53.0,947,0.2817660968400609
53,PaS_L,54.0,499,0.2535184904007252
54,PRh_L,55.0,676,0.26232407278430886
55,PrS_L,56.0,48,0.26499103164921206
56,Pir_L,57.0,28173,0.2591251980366428
57,APir_L,58.0,103,0.20350850713484495
58,Hyp_L,59.0,5674,0.22473713767359932
