,Structure Abbreviation,Index,Voxel Number,Mean intensity
0,A24a_L,1.0,789,0.1620778221925024
1,A24aPrime_L,2.0,315,0.19100171425749385
2,A24b_L,3.0,793,0.1987005123142787
3,A24bPrime_L,4.0,169,0.22658341417651204
4,A29a_L,5.0,213,0.22665867835563114
5,A29b_L,6.0,109,0.2654913695306953
6,A29c_L,7.0,467,0.24895002951394823
7,A30_L,8.0,1485,0.26256955465935294
8,A32_L,9.0,1182,0.19398224941894487
9,Au1_L,10.0,687,0.2283357381061522
10,AuD_L,11.0,781,0.24763444031704404
11,AuV_L,12.0,775,0.20888162462942061
12,DLO_L,13.0,322,0.1722461782303286
13,Fr3_L,14.0,424,0.19540370294367368
14,FrA_L,15.0,3506,0.22277672357296202
15,Ins_L,16.0,3856,0.16892254340783133
16,LO_L,17.0,1443,0.17898676467495334
17,LPtA_L,18.0,88,0.2791044559668411
18,M1_L,19.0,3518,0.23160063979099968
19,M2_L,20.0,3255,0.2317490886124323
20,MO_L,21.0,709,0.17431981937253088
21,MPtA_L,22.0,161,0.28381006058698854
22,PtPR_L,23.0,38,0.2927039246025838
23,S1_L,24.0,322,0.2745203062058976
24,S1BF_L,25.0,4714,0.24457758596095056
25,S1DZ_L,26.0,601,0.2538045036316711
26,S1FL_L,27.0,1722,0.24810398151961768
27,S1HL_L,28.0,1434,0.2586984481491055
28,S1J_L,29.0,1575,0.2111698584802567
29,S1Sh_L,30.0,34,0.279503514223239
30,S1Tr_L,31.0,258,0.27173229653474895
31,S1ULp_L,32.0,2201,0.21303053518274004
32,S2_L,33.0,3096,0.18761631323010192
33,TeA_L,34.0,1591,0.21225167308435883
34,V1_L,35.0,301,0.3017622532935634
35,V1B_L,36.0,1017,0.28961371711016637
36,V1M_L,37.0,1981,0.2686791179277631
37,V2L_L,38.0,1364,0.250178317487502
38,V2ML_L,39.0,508,0.30178673998049393
39,V2MM_L,40.0,865,0.2925526295697069
40,VO_L,41.0,698,0.16474322025746876
41,CEnt_L,42.0,2453,0.18144161815011303
42,DIEnt_L,43.0,662,0.16494431401802695
43,DLEnt_L,44.0,1189,0.18434256304578686
44,MEnt_L,45.0,288,0.18052988993521366
45,VIEnt_L,46.0,549,0.1685471880794223
46,Cl_L,47.0,5,0.17693077325820922
47,DCl_L,48.0,0,
48,PLCo_L,49.0,860,0.14503529038886692
49,VCl_L,50.0,7,0.15761761367321014
50,Hc_L,51.0,13401,0.1883914494180493
51,DTT_L,52.0,265,0.13870671193273562
52,Ect_L,53.0,1009,0.19647218662843005
53,PaS_L,54.0,607,0.17840848779658705
54,PRh_L,55.0,741,0.18275998776097369
55,PrS_L,56.0,68,0.18364865793024793
56,Pir_L,57.0,27489,0.17986653181000747
57,APir_L,58.0,105,0.1660605075103896
58,Hyp_L,59.0,5151,0.15184369241090867
59,Preopt_L,60.0,3001,0.15736864689304328
60,Sthal_L,61.0,258,0.14784967648082
61,SPT_L,62.0,3524,0.14686248069639643
62,GP_L,63.0,1017,0.1520298969370543
63,CPu_L,64.0,10642,0.15143040520659046
64,Amy_L,65.0,6126,0.15248692102810546
65,Acb_L,66.0,1925,0.15247526079803317
66,BNst_L,67.0,284,0.1448316936131934
67,Vpal_L,68.0,948,0.1658841997683677
68,PAG_L,69.0,3412,0.17683669028133328
69,APT_L,70.0,291,0.15066092073456527
70,VTA_L,71.0,93,0.14851522806190676
71,Thal_R_L,72.0,6093,0.13287732167141633
72,VT_L,73.0,1508,0.14262811778809886
73,LDNT_L,74.0,165,0.14808584438128905
74,MGN_L,75.0,279,0.15320387648211586
75,LGN_L,76.0,434,0.15820849990721123
76,ZI_L,77.0,1037,0.13881970069073896
77,RTN_L,78.0,1269,0.14364891700076718
78,Sub_PP_L,79.0,138,0.15709068604569504
79,DpMe_L,80.0,1456,0.14428061788778876
80,SC_L,81.0,4547,0.20297056345311276
81,IC_L,82.0,2877,0.22629955051247344
82,SN_L,83.0,501,0.1447546531013148
83,RPC_L,84.0,56,0.14935051556676626
84,MRN_L,85.0,2008,0.15571766574885623
85,RI_L,86.0,226,0.14790262512664878
86,Cn_L,87.0,173,0.17004299857196092
87,PrCn_L,88.0,297,0.16379612423354126
88,BS_R_L,89.0,2958,0.14398538406580647
89,Iped_L,90.0,105,0.1543910967806975
90,Cb_1_10_L,91.0,25648,0.1956440759983224
91,Den_L,92.0,204,0.17779748678645668
92,Int_L,93.0,239,0.17216263801857018
93,FasDL_L,94.0,3,0.18611220518747965
94,FasMed_L,95.0,543,0.15943488025862868
95,Vll_L,96.0,17,0.12219344977946843
96,ParB_L,97.0,195,0.17234238451107955
97,KF_L,98.0,383,0.15499069745951471
98,PCRt_L,99.0,2374,0.15319538710869554
99,CG_L,100.0,1324,0.14871499976959204
100,Su5_L,101.0,132,0.15445006909695538
101,m5_L,102.0,52,0.13898403383791447
102,5N_L,103.0,187,0.1581283519293535
103,PnO_L,104.0,2759,0.14956676293651924
104,Raph_L,105.0,166,0.15478240007377533
105,Pr5_L,106.0,340,0.13930268160560552
106,DTg_L,107.0,1013,0.15655300658847127
107,Tg_L,108.0,2,0.19328277558088303
108,CoN_L,109.0,268,0.14289373620899756
109,Pn_L,110.0,604,0.14110081694058038
110,RTg_L,111.0,199,0.14529264156692592
111,Oliv_L,112.0,737,0.14165097250624623
112,PnC_L,113.0,1330,0.15037703124204077
113,Sp5_L,114.0,1703,0.15347072598702124
114,Ve_L,115.0,1637,0.14971288869347452
115,Gi_L,116.0,3374,0.1439379282609273
116,Cu_L,117.0,378,0.15549956520319616
117,ac_L,118.0,203,0.12777719668713697
118,ot_L,119.0,987,0.13223659294716855
119,fi_L,120.0,1143,0.13453662211331274
120,cc_L,121.0,8513,0.17983562055514407
121,fx_L,122.0,46,0.12714269903043043
122,st_L,123.0,428,0.1410491676983711
123,cg_L,124.0,429,0.21704236242598865
124,lo_L,125.0,399,0.1537125877718579
125,vhc_L,126.0,10,0.14972410053014756
126,ic_L,127.0,1620,0.14100329057302005
127,fr_L,128.0,0,
128,sm_L,129.0,35,0.10985179149678775
129,mt_L,130.0,0,
130,pc_L,131.0,20,0.1547021593898535
131,bsc_L,132.0,5,0.14422469735145568
132,cp_L,133.0,1189,0.1356992729014464
133,ll_L,134.0,501,0.14935918344173602
134,sp5_L,135.0,993,0.13320048318843827
135,py_L,136.0,397,0.12348577769599874
136,n8_L,137.0,78,0.12189819472722518
137,n7_L,138.0,0,
138,lfp_L,139.0,13,0.1501418501138687
139,mlf_ts_L,140.0,664,0.13374881496854935
140,sc_L,141.0,226,0.1281535618369822
141,ml_L,142.0,113,0.13414899411454664
142,vsc_L,143.0,647,0.14706180501481664
143,mcp_L,144.0,1026,0.1319918274066137
144,scp_L,145.0,367,0.15261297206056865
145,icp_oc_tz_L,146.0,274,0.14052860562546846
146,cbw_L,147.0,3359,0.15791674470459643
147,LV_L,148.0,3707,0.12832563222439455
148,A25_L,149.0,183,0.13921921325674474
149,das_L,150.0,0,
150,Post_L,151.0,258,0.22018989553862764
151,4V_L,152.0,460,0.14045467658535293
152,MiTg_L,153.0,499,0.15869509151022515
153,PT_L,154.0,48,0.1049410414416343
154,LDVL_L,155.0,69,0.15696925648312637
155,LP_L,156.0,91,0.1532734872384386
156,Athal_L,157.0,390,0.13720370960923342
157,RMC_L,158.0,61,0.15222633642251374
158,PaR_L,159.0,0,
159,RR_L,160.0,255,0.1455676019191742
160,CSF_L,161.0,197,0.19177313663330176
161,IRN_L,162.0,746,0.14453642365420313
162,PHD_PaMP_Post_and_LatHy_L,163.0,574,0.14645942005909693
163,PR_p3Tg_L_L,164.0,37,0.13344798720366247
164,PVG_L,165.0,48,0.1438284682420393
165,BLA_L,166.0,851,0.15968215706310598
166,A24a_R,1001.0,817,0.16614094320935455
167,A24aPrime_R,1002.0,330,0.18925745776205352
168,A24b_R,1003.0,930,0.19526159361165057
169,A24bPrime_R,1004.0,204,0.22996441833674908
170,A29a_R,1005.0,266,0.22963791133317732
