,Structure Abbreviation,Index,Voxel Number,Mean intensity
0,A24a_L,1.0,793,0.4300163635540129
1,A24aPrime_L,2.0,365,0.4601832766647208
2,A24b_L,3.0,850,0.47412686372504514
3,A24bPrime_L,4.0,244,0.5755722189291579
4,A29a_L,5.0,211,0.5056465832401791
5,A29b_L,6.0,117,0.5643792962416624
6,A29c_L,7.0,630,0.5536740093950241
7,A30_L,8.0,1719,0.5871696575713269
8,A32_L,9.0,1118,0.46411506410468245
9,Au1_L,10.0,586,0.5534518193517122
10,AuD_L,11.0,754,0.5751763842901121
11,AuV_L,12.0,689,0.5430911129721709
12,DLO_L,13.0,315,0.4557155894854712
13,Fr3_L,14.0,381,0.49504810837623014
14,FrA_L,15.0,3331,0.5375916376481791
15,Ins_L,16.0,3881,0.4683136225910077
16,LO_L,17.0,1518,0.4567188034042696
17,LPtA_L,18.0,105,0.6152808913162776
18,M1_L,19.0,3424,0.5410732193414783
19,M2_L,20.0,3342,0.5483084791108636
20,MO_L,21.0,727,0.45204015024918476
21,MPtA_L,22.0,193,0.647158464001868
22,PtPR_L,23.0,26,0.6272419759860406
23,S1_L,24.0,373,0.5729592370603424
24,S1BF_L,25.0,4538,0.6228955642764739
25,S1DZ_L,26.0,697,0.6073851242469065
26,S1FL_L,27.0,1755,0.6243419004386647
27,S1HL_L,28.0,1308,0.6174913311792988
28,S1J_L,29.0,1476,0.5214477817661717
29,S1Sh_L,30.0,39,0.6392358136482728
30,S1Tr_L,31.0,288,0.6332513159140944
31,S1ULp_L,32.0,1890,0.5317583408068728
32,S2_L,33.0,2735,0.4994398588644957
33,TeA_L,34.0,1506,0.5510404080568082
34,V1_L,35.0,282,0.6172485387494379
35,V1B_L,36.0,1024,0.5665965940861497
36,V1M_L,37.0,2114,0.5568616433860337
37,V2L_L,38.0,1267,0.6073388057660191
38,V2ML_L,39.0,588,0.6391073729918928
39,V2MM_L,40.0,941,0.6146985827356292
40,VO_L,41.0,848,0.43548530631891963
41,CEnt_L,42.0,2463,0.4855131308721712
42,DIEnt_L,43.0,658,0.49055551979860634
43,DLEnt_L,44.0,1330,0.5032532667755184
44,MEnt_L,45.0,284,0.49958476539648755
45,VIEnt_L,46.0,516,0.49652280153114664
46,Cl_L,47.0,2,0.5221839100122452
47,DCl_L,48.0,0,
48,PLCo_L,49.0,764,0.4710017718491754
49,VCl_L,50.0,7,0.48820100511823383
50,Hc_L,51.0,14139,0.4807903424123531
51,DTT_L,52.0,203,0.4186517879587089
52,Ect_L,53.0,919,0.5388701527629766
53,PaS_L,54.0,488,0.45833280368051565
54,PRh_L,55.0,746,0.5194624684771009
55,PrS_L,56.0,46,0.4689373186101084
