,id,file,label
0,19061010,True,True
1,19061001,True,True
2,19061002,True,True
3,19061003,True,True
4,19061004,True,True
5,19061005,True,True
6,19061006,True,True
7,19061007,True,True
8,19071501,True,True
9,19071502,True,True
10,19071503,True,True
11,19071504,True,True
12,19071505,True,True
13,19071506,True,True
14,19071507,True,True
15,19071508,True,True
16,19090911,True,True
17,19090912,True,True
18,19090913,True,True
19,19102803,True,True
20,19102804,True,True
21,19102805,True,True
22,19102806,True,True
23,19102807,True,True
24,19120510,True,True
25,19120501,True,True
26,19120502,True,True
27,19120503,True,True
28,19120504,True,True
29,19120505,True,True
30,19120506,True,True
31,19120508,True,True
32,19120509,True,True
33,19121201,True,True
34,19121203,True,True
35,19121204,True,True
36,19121205,True,True
37,19121206,True,True
38,19121207,True,True
39,19121208,True,True
40,19121209,True,True
41,20100701,True,True
42,20100702,True,True
43,20100703,True,True
44,20100704,True,True
45,20080501,True,True
46,20080502,True,True
47,20080504,True,True
48,20080505,True,True
