Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (200805_5_10_1_T1_RARE_MEMRI_apoe100um_roomtemp),Image stdev (200805_5_10_1_T1_RARE_MEMRI_apoe100um_roomtemp)
0,Clear Label,3599220,3599.22,0.277328,0.208712
1,Label 1,780,0.78,0.808885,0.083928
