Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (Animal_201007_4_57_1_T1_RARE_MEMRI_22mins),Image stdev (Animal_201007_4_57_1_T1_RARE_MEMRI_22mins)
0,Clear Label,3598011,3598.01,0.166593,0.164765
1,Label 1,1989,1.989,0.50581,0.0635258
