Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (Animal_190715_1_B50013_5_1_T1_RARE_MEMRI_apoe100um_roomtemp),Image stdev (Animal_190715_1_B50013_5_1_T1_RARE_MEMRI_apoe100um_roomtemp)
0,Clear Label,3596553,3596.55,0.271129,0.210419
1,Label 1,3447,3.447,0.332431,0.0801908
