Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (Animal_201007_2_32_1_T1_RARE_MEMRI_22mins),Image stdev (Animal_201007_2_32_1_T1_RARE_MEMRI_22mins)
0,Clear Label,3598921,3598.92,0.146027,0.142936
1,Label 1,1079,1.079,0.43538,0.0374894
