Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (200805_1_10_1_T1_RARE_MEMRI_apoe100um_roomtemp),Image stdev (200805_1_10_1_T1_RARE_MEMRI_apoe100um_roomtemp)
0,Clear Label,3599029,3599.03,0.25861,0.214265
1,Label 1,971,0.971,0.193097,0.0580833
