Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (Animal_191212_6_90_1_T1_RARE_MEMRI_22mins),Image stdev (Animal_191212_6_90_1_T1_RARE_MEMRI_22mins)
0,Clear Label,3597417,3597.42,0.130075,0.121332
1,Label 1,2583,2.583,0.405126,0.0502939
