Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (Animal_191028_6_B50022_40_1_T1_RARE_MEMRI_apoe100um_roomtemp),Image stdev (Animal_191028_6_B50022_40_1_T1_RARE_MEMRI_apoe100um_roomtemp)
0,Clear Label,3598588,3598.59,0.208288,0.189472
1,Label 1,1412,1.412,0.558862,0.0834085
