Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (Animal_201007_1_2_1_T1_RARE_MEMRI_22mins),Image stdev (Animal_201007_1_2_1_T1_RARE_MEMRI_22mins)
0,Clear Label,3599353,3599.35,0.219806,0.213338
1,Label 1,647,0.647,0.810226,0.103476
