Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (Animal_191212_8_115_1_T1_RARE_MEMRI_22mins),Image stdev (Animal_191212_8_115_1_T1_RARE_MEMRI_22mins)
0,Clear Label,3598524,3598.52,0.171151,0.146037
1,Label 1,1476,1.476,0.54905,0.0773459
