Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (Animal_191028_5_B50022_31_1_T1_RARE_MEMRI_apoe100um_roomtemp),Image stdev (Animal_191028_5_B50022_31_1_T1_RARE_MEMRI_apoe100um_roomtemp)
0,Clear Label,3599526,3599.53,0.246549,0.221066
1,Label 1,474,0.474,0.549717,0.0695385
