Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (Animal_191028_7_B50022_44_1_T1_RARE_MEMRI_apoe100um_roomtemp (1)),Image stdev (Animal_191028_7_B50022_44_1_T1_RARE_MEMRI_apoe100um_roomtemp (1))
0,Clear Label,3598650,3598.65,0.192143,0.180587
1,Label 1,1350,1.35,0.529069,0.0636051
