Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (Animal_191205_1_B50027_15_1_T1_RARE_MEMRI_exercise),Image stdev (Animal_191205_1_B50027_15_1_T1_RARE_MEMRI_exercise)
0,Clear Label,3839073,3839.07,0.200574,0.156174
1,Label 1,927,0.927,0.533062,0.0597258
