Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (Animal_190610_6_B49999_86_1_T1_RARE_MEMRI_apoe_T1_RARE_MEMRI_apoe_roomtemp),Image stdev (Animal_190610_6_B49999_86_1_T1_RARE_MEMRI_apoe_T1_RARE_MEMRI_apoe_roomtemp)
0,Clear Label,3598459,3598.46,0.237719,0.196202
1,Label 1,1541,1.541,0.695008,0.120467
