Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (Animal_191205_2_B50028_3_1_T1_RARE_MEMRI_exercise),Image stdev (Animal_191205_2_B50028_3_1_T1_RARE_MEMRI_exercise)
0,Clear Label,3838335,3838.34,0.17631,0.145209
1,Label 1,1665,1.665,0.432046,0.0802181
