Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (Animal_190715_7_B50018_23_1_T1_RARE_MEMRI_apoe_roomtemp),Image stdev (Animal_190715_7_B50018_23_1_T1_RARE_MEMRI_apoe_roomtemp)
0,Clear Label,3598900,3598.9,0.200927,0.18833
1,Label 1,1100,1.1,0.437347,0.0884117
