Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (Animal_190610_5_B49999_76_1_T1_RARE_MEMRI_apoe100um_roomtemp),Image stdev (Animal_190610_5_B49999_76_1_T1_RARE_MEMRI_apoe100um_roomtemp)
0,Clear Label,3598885,3598.89,0.291358,0.198252
1,Label 1,1115,1.115,0.767232,0.143061
