Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (Animal_191205_8_33_1_T1_RARE_MEMRI_apoe),Image stdev (Animal_191205_8_33_1_T1_RARE_MEMRI_apoe)
0,Clear Label,3599018,3599.02,0.167089,0.163168
1,Label 1,281,0.281,0.431697,0.0570846
2,Label 2,424,0.424,0.534947,0.0835772
3,Label 3,277,0.277,0.482509,0.0597152
,Average,327.3333333,0.327333333,0.483051,0.066792333
