Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (Animal_191212_4_58_1_T1_RARE_MEMRI_22mins),Image stdev (Animal_191212_4_58_1_T1_RARE_MEMRI_22mins)
0,Clear Label,3598644,3598.64,0.158557,0.127771
1,Label 1,1356,1.356,0.589465,0.0606621
