Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (Animal_190909_13_B50013_60_1_T1_RARE_MEMRI_apoe100um_roomtemp),Image stdev (Animal_190909_13_B50013_60_1_T1_RARE_MEMRI_apoe100um_roomtemp)
0,Clear Label,3599079,3599.08,0.23186,0.178905
1,Label 1,921,0.921,0.323152,0.0682856
