Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (Animal_190715_8_B50018_29_1_T1_RARE_MEMRI_apoe_roomtemp),Image stdev (Animal_190715_8_B50018_29_1_T1_RARE_MEMRI_apoe_roomtemp)
0,Clear Label,3598697,3598.7,0.214294,0.173516
1,Label 1,1303,1.303,0.518543,0.0615228
