Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (200805_2_33_1_T1_RARE_MEMRI_apoe100um_roomtemp),Image stdev (200805_2_33_1_T1_RARE_MEMRI_apoe100um_roomtemp)
0,Clear Label,3599344,3599.34,0.300276,0.272834
1,Label 1,656,0.656,0.825267,0.18587
