Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (Animal_190610_10_B49999_110_1_T1_RARE_MEMRI_apoe_T1_RARE_MEMRI_apoe_roomtemp),Image stdev (Animal_190610_10_B49999_110_1_T1_RARE_MEMRI_apoe_T1_RARE_MEMRI_apoe_roomtemp)
0,Clear Label,3999254,3999.25,0.284961,0.216469
1,Label 1,271,0.271,0.253878,0.0484015
2,Label 2,231,0.231,0.248191,0.0473306
3,Label 3,244,0.244,0.258217,0.046535
,Average,248.6666667,0.248666667,0.253428667,0.047422367
