Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (Animal_191212_3_34_1_T1_RARE_MEMRI_22mins),Image stdev (Animal_191212_3_34_1_T1_RARE_MEMRI_22mins)
0,Clear Label,3598998,3599,0.12977,0.118381
1,Label 1,1002,1.002,0.502799,0.0528461
