Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (Animal_190610_4_B49999_66_1_T1_RARE_MEMRI_apoe100um_roomtemp),Image stdev (Animal_190610_4_B49999_66_1_T1_RARE_MEMRI_apoe100um_roomtemp)
0,Clear Label,3597379,3597.38,0.303758,0.200586
1,Label 1,2621,2.621,0.764251,0.142453
